NAME,COUNTRY,PROVIDER,ADDRESSS
Gold Coast Data Center,australia,CenterServ,"50 Cavill Avenue, Surfers Paradise QLD, Australia"
SYD1 Sydney Data Center,australia,Zenlayer,"unit b/200 Bourke Road, Alexandria Sydney, NSW 2015, Australia"
Canberra Data Centres - IC4 Bunker,australia,Macquarie Data Centres,"Fairbairn Golf Course, Laverton Avenue, ACT 2609, Australia"
Brisbane BNE2 Data Center,australia,DigiCo Infrastructure REIT,"2 Cycas La, Brisbane Airport Brisbane, QLD 4008, Australia"
MODMC Sydney Data Center,australia,MOD Mission Critical,"32 York Street, Sydney NSW, Australia"
Adelaida Data Center,australia,TPG telecom,"45 Pirie Street, Adelaide South Australia, Australia"
Little Edward Data Center,australia,over the wire pty ltd,"level 3/24 Little Edward St, Spring Hill Queensland 4000, Australia"
St Pauls Terrace,australia,over the wire pty ltd,"level 1/360 St Pauls Ter, Fortitude Valley QLD 4006, Australia"
Hume Campus Five,australia,CDC Data Centres,"7 Tralee Street, Hume ACT 2620, Australia"
Townsville TSV1 Data Center,australia,DigiCo Infrastructure REIT,"Townsville QLD, Australia"
Fortitude Valley Data Center,australia,TPG telecom,"100 Wickham Street, Fortitude Valley Queensland, Australia"
North Sydney Data Centre,australia,5G Networks,"unit 17/39 Herbert Street, St Leonards NSW 2065, Australia"
Brisbane Data Center,australia,Telstra,"20 Wharf Street, Brisbane City Queensland, Australia"
TMW1 Tamworth Data Center,australia,Leading Edge Data Centres,"Tamworth NSW, Australia"
Adelaide Data Center,australia,Telstra,"Waymouth Street, Adelaide Australia Meridional, Australia"
ABX1 Albury Data Center,australia,Leading Edge Data Centres,"Albury NSW, Australia"
Wickham Data Center,australia,over the wire pty ltd,"100 Wickham St, Fortitude Valley Brisbane, QLD, Australia"
Marsden Park Campus,australia,CDC Data Centres,"105-113 Hollinsworth Road, Marsden Park NSW 2765, Australia"
Adelaide 03 Data Center,australia,DCI Data Centers,"12 Third Ave, Mawson Lakes SA 5095, Australia"
Canberra Data Centres - IC5 Bunker,australia,Macquarie Data Centres,"Fairbairn Golf Course, Laverton Avenue, ACT 2609, Australia"
South Australia,australia,Fujitsu,"Hub Adelaide, 89 Pirie St, Adelaide SA 5000, Australia"
Melbourne 1 Data Center,australia,Lumen,"820 Lorimer St, Port Melbourne VIC 3207, Australia"
Brisbane BNE3 Data Center,australia,DigiCo Infrastructure REIT,"2 Cycas La, Brisbane Airport Brisbane, QLD 4008, Australia"
Sydney SYD-12 Data Center,australia,LeaseWeb,"Cast Way, 2 Broadcast Way, Artarmon NSW 2064, Australia"
Sydney Data Center,australia,Telstra,"76-78 Pitt St, Sydney NSW 2000, Australia"
Macquarie Park Data Centre Campus - IC2,australia,Macquarie Data Centres,"17-23 Talavera Road, Macquarie Park NSW 2113, Australia"
Adelaide Data Centre,australia,5G Networks,"level 1/340 Findon Rd, Kidman Park SA 5025, Australia"
EC8 Traralgon Data Center,australia,Edge Centres,"466 David St, Albury NSW 2640, Australia"
DBO1 Dubbo Data Center,australia,Leading Edge Data Centres,"Dubbo NSW, Australia"
Sydney SYD-10 Data Centre,australia,LeaseWeb,"639 Gardeners Rd, Mascot NSW 2020, Australia"
Brisbane BNE1 Data Center,australia,DigiCo Infrastructure REIT,"2 Cycas La, Brisbane Airport Brisbane, QLD 4008, Australia"
EC1 Grafton Data Center,australia,Edge Centres,"107 Bacon St, Grafton NSW 2460, Australia"
Vocus Group EDC1,australia,Vocus Communications,"10-12 Brookhollow Avenue, Norwest NSW, Australia"
Queensland Data Center,australia,multacom inc,"Queensland, Australia"
Darwin 01 Data Center,australia,DCI Data Centers,"Wishart NT 0822, Australia"
NTL1 Newcastle Data Center,australia,Leading Edge Data Centres,"Newcastle NSW 2300, Australia"
Sydney Data Centre,australia,5G Networks,"level 1/55 Pyrmont Bridge Road, Pyrmont NSW 2009, Australia"
Vocus Group Adelaide,australia,Vocus Communications,"132 Franklin Street, Adelaide SA, Australia"
Canberra Data Center,australia,CenterServ,"39 London Circuit, Canberra ACT, Australia"
Sydney SYD-11 Data Center,australia,LeaseWeb,"unit a/200 Bourke Road, Alexandria Sydney, NSW 2015, Australia"
Melbourne Data Center,australia,Datacom,"Melbourne Victoria, Australia"
SY1 - SY5 Sydney Data Center PoP,australia,MOD Mission Critical,"200 Bourke Road, Alexandria NSW 2015, Australia"
SY3 Data Center,australia,China Telecom,"47 Bourke Road, Alexandria NSW 2015, Australia"
SYD Sydney Australia,australia,Hivelocity,"unit b/639 Gardeners Road, Mascot NSW 2020, Australia"
Macquarie Park Data Centre Campus - IC3 East,australia,Macquarie Data Centres,"17-23 Talavera Road, Macquarie Park NSW 2113, Australia"
"AAPT, Haymarket, Australia",australia,AAPT,"187 Thomas Street, Haymarket New South Wales, Australia"
Adelaide ADL1 Data Center,australia,DigiCo Infrastructure REIT,"23 Woomera Avenue, Edinburgh SA 5111, Australia"
Sydney Data Center,australia,Psychz Networks,"47 Bourke Road, Alexandria Sydney, NSW 2015, Australia"
Australian Capital Territory,australia,Fujitsu,"level 3/4 National Circuit, Barton ACT 2600, Australia"
Sydney 02 Data Center,australia,DCI Data Centers,"Eastern Creek NSW, Australia"
AirTrunk SYD1 (Sydney Data Centre),australia,Datacom,"Western Sydney International Airport, Nancy Drive, Luddenham Nueva Gales del Sur, Australia"
Sydney 03 Data Center,australia,DCI Data Centers,"Eastern Creek NSW, Australia"
Canberra 01 Data Center,australia,DCI Data Centers,"2 Wolseley Pl, Jerrabomberra NSW 2619, Australia"
Vocus Group Perth,australia,Vocus Communications,"45 Saint Georges Terrace, Perth WA, Australia"
Adelaide 02 Data Center,australia,DCI Data Centers,"Kidman Park SA, Australia"
59 Doody Street Data Center,australia,Vocus Communications,"59 Doody Street, Alexandria NSW, Australia"
Global Switch Australia Data Center,australia,China Telecom,"400 Harris Street, Ultimo NSW 2007, Australia"
Sydney Data Center,australia,TATA Communications,"King Street Wharf, Lime Street, Sydney NSW, Australia"
Vocus Group Newcastle West,australia,Vocus Communications,"9 Denison Street, Newcastle West NSW, Australia"
SYD3 Sydney Data Center,australia,Zenlayer,"unit b/639 Gardeners Road, Mascot Sydney, NSW 2020, Australia"
Sydney Data Center,australia,DataHOUSE,"Sydney Nueva Gales del Sur, Australia"
Sydney Data Center,australia,HorizonIQ,"639 Gardeners Road, Mascot NSW, Australia"
SYD1 Sydney Data Center,australia,Enzu,"200 Bourke Road, Alexandria NSW, Australia"
Sydney SYD1 Data Center,australia,AT&T,"400 Harris Street, Ultimo NSW, Australia"
Adelaide ADL2 Data Center,australia,DigiCo Infrastructure REIT,"60 Belair Rd, Hawthorn SA 5062, Australia"
Haymarket Data Center,australia,TPG telecom,"187 Thomas Street, Haymarket Sydney, NSW 2000, Australia"
SYD4 200 Bourke Rd Data Center,australia,Atlantic Metro Communications,"200 Bourke Rd, Alexandria NSW, Australia"
Sydney SYD1 Data Center,australia,DigiCo Infrastructure REIT,"Sydney NSW, Australia"
Forest Lodge Data Center,australia,TPG telecom,"30 Ross Street, Forest Lodge Sydney, NSW 2037, Australia"
Sydney Data Center 2,australia,IPTP Networks,"400 Harris Street, Ultimo NSW 2007, Australia"
Sydney Data Center,australia,VPSserver,"Sydney Nueva Gales del Sur, Australia"
Sydney Data Center 1,australia,IPTP Networks,"200 Bourke Rd, Alexandria Council of the City of Sydney, NSW 2015, Australia"
ADC Mitchell Data Center (Canberra),australia,Australian data centre,"38 Vicars Street, Mitchell ACT 2911, Australia"
Maroochydore Data Center,australia,RTI connectivity pte ltd,"44 Maud Street, Maroochydore Queensland, Australia"
Adelaide Data Center,australia,Colocity,"Pulteney Street, Adelaida Australia Meridional, Australia"
Seocho Data Center,australia,SK boardband,"Seocho-dong Eastwood, Glen Street, Eastwood Nueva Gales del Sur, Australia"
Morphett Street Data Center,australia,Colocity,"Morphett Street, Adelaida Australia Meridional, Australia"
SYD4 Sydney Data Center,australia,Zenlayer,"4 Eden Park Drive, Macquarie Park NSW, Australia"
Gore Hill Data Centre,australia,Keppel Data Centres,"5 Broadcast Way, Artarmon NSW 2064, Australia"
Australia Data Center,australia,Fidelity National Information Services fis,"340 Findon Road, Kidman Park Australia Meridional, Australia"
5G Networks – Melbourne Data Centre,australia,5g networks limited,"530 Collins Street, Melbourne VIC 3000, Australia"
5G Networks – Brisbane Data Centre,australia,5g networks limited,"42 Amelia Street, Fortitude Valley QLD 4006, Australia"
5G Networks – North Sydney Data Centre,australia,5g networks limited,"unit 17/39 Herbert Street, St Leonards NSW 2065, Australia"
5G Networks – Sydney Data Centre,australia,5g networks limited,"level 1/55 Pyrmont Bridge Road, Pyrmont NSW 2009, Australia"
5G Networks – Adelaide Data Centre,australia,5g networks limited,"level 1/340 Findon Road, Kidman Park SA 5025, Australia"
Silverdale,new-zealand,CDC Data Centres,"29 Highgate Parkway, Silverdale 0932, New Zealand"
New Zealand Data Center,new-zealand,Datacentre220,"220 Queen Street, Auckland Central, Auckland, New Zealand"
Hobsonville Data Center,new-zealand,CDC Data Centres,"32 Westpoint Drive, Hobsonville, Auckland 0618, New Zealand"
Westgate - New Zeland,new-zealand,Microsoft Azure,"Rotu Dr, Westgate, Auckland 0814, New Zealand"
Auckland data centre,new-zealand,Datacom,"6 Orbit Drive, Rosedale, Auckland 0632, New Zealand"
New Zealand Data Center,new-zealand,Kyndryl,"level 3/1 Albert Street, Auckland Central, Auckland 1010, New Zealand"
Gloucester data centre,new-zealand,Datacom,"67 Gloucester Street, Christchurch Central City, Christchurch 8013, New Zealand"
Kapua data centre,new-zealand,Datacom,"14 Simsey Place, Te Rapa Park, Hamilton 3200, New Zealand"
Abel data centre,new-zealand,Datacom,"84 Abel Smith Street, Te Aro, Wellington 6011, New Zealand"
Albany Data Center,new-zealand,Vodafone,"3A William Pickering Drive, Rosedale, Auckland 0632, New Zealand"
NZ1 - Spark New Zealand Data Center PoP,new-zealand,MOD Mission Critical,"31 Airedale Street, Auckland CBD, Auckland, New Zealand"
Auckland 01 Data Center,new-zealand,DCI Data Centers,"Westgate, Auckland, New Zealand"
Papakura DC,new-zealand,Spark Digital,"40 O'Shannessey Street, Papakura, Auckland 2110, New Zealand"
Takanini DC,new-zealand,Spark Digital,"23 Popes Road, Takanini, Auckland 2105, New Zealand"
Christchurch Airport DC,new-zealand,Spark Digital,"18 Perimeter Rd, Christchurch Airport, Christchurch 8053, New Zealand"
Hamilton DC,new-zealand,Spark Digital,"7 Caro Street Parking Caro Street, Hamilton Central, Hamilton 3204, New Zealand"
Fujitsu New Zealand,new-zealand,Fujitsu,"level 3/40 Bowen Street, Pipitea, Wellington 6011, New Zealand"
Hobsonville Campus Two,new-zealand,CDC Data Centres,"Westpoint Drive, Hobsonville, Auckland, Nueva Zelanda"
Mayoral Drive Exchange,new-zealand,Spark Digital,"31 Airedale Street, Auckland Central, Auckland, New Zealand"
Wellington DC,new-zealand,Spark Digital,"level 6/60-70 Featherston St, Pipitea, Wellington 6011, New Zealand"
Tauranga DC,new-zealand,Spark Digital,"570 Cameron Rd, Tauranga South, Tauranga, New Zealand"
Dunedin DC,new-zealand,Spark Digital,"level 1/18 Tennyson Street, Central Dunedin, Dunedin 9016, New Zealand"
Auckland Central Data Center,new-zealand,Spark Nz,"Auckland, New Zealand"
"William Pickering Drive, Albany",new-zealand,Plan B,"Albany Florist William Pickering Drive, Rosedale, Auckland, Nueva Zelanda"
Albany Data Center,new-zealand,Telstra,"3A William Pickering Dr, Rosedale, Auckland 0632, New Zealand"
Invercargill DC,new-zealand,Spark Digital,"10 The Crescent, Invercargill 9810, New Zealand"
Auckland Data Center,new-zealand,T4 Group,"42 Business Parade South, East Tāmaki, Auckland, New Zealand"
Auckland North Data Center,new-zealand,Spark Nz,"Auckland, New Zealand"
Auckland Data Center,new-zealand,Telstra,"Albany Florist William Pickering Drive, Rosedale, Auckland 0632, New Zealand"
