Name,Quantity,Discount,Price,Link
Banana - Raw Green,500 g,24% OFF,₹17.48,bigbasket.com/pd/10000168/fresho-banana-raw-green-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=23&t_s=Banana%2520-%2520Raw%2520Green
Pumpkin Green - Cut,500 g,20% OFF,₹39.2,bigbasket.com/pd/40050087/fresho-pumpkin-green-cut-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=24&t_s=Pumpkin%2520Green%2520-%2520Cut
Beans - Organically Grown,1 kg,20% OFF,₹119.2,bigbasket.com/pd/50000463/fresho-beans-french-ring-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=25&t_s=Beans%2520-%2520Organically%2520Grown
Apple - Pink Lady,2 pcs - (Approx. 260 g - 300 g),24% OFF,₹157.32,bigbasket.com/pd/40319251/fresho-apple-pink-lady-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=26&t_s=Apple%2520-%2520Pink%2520Lady
Chrysanthemum/Shevanti Flower,500 g,24% OFF,₹105.64,bigbasket.com/pd/20001036/fresho-chrysanthemumshevanti-flower-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=27&t_s=Chrysanthemum%252FShevanti%2520Flower
"Pear - Green, Imported",2 pcs - (Approx. 280 g - 320 g),32% OFF,₹84,bigbasket.com/pd/40048444/fresho-pear-green-imported-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=28&t_s=Pear%2520-%2520Green%252C%2520Imported
Cucumber - Organically Grown,1 kg,35% OFF,₹53.5,bigbasket.com/pd/50000491/fresho-cucumber-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=29&t_s=Cucumber%2520-%2520Organically%2520Grown
Bitter Gourd,1 kg,24% OFF,₹89.68,bigbasket.com/pd/10000048/fresho-bitter-gourd-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=30&t_s=Bitter%2520Gourd
Cabbage - Organically Grown,N/A,20% OFF,₹36.8,bigbasket.com/pd/40023473/fresho-cabbage-organically-grown-1-pc-approx-300-13-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=31&t_s=Cabbage%2520-%2520Organically%2520Grown
"Banana - Yelakki, Organically Grown",1 kg,42% OFF,₹103.5,bigbasket.com/pd/50000457/fresho-banana-yelakki-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=32&t_s=Banana%2520-%2520Yelakki%252C%2520Organically%2520Grown
Colocasia,1 kg,24% OFF,₹111.72,bigbasket.com/pd/10000094/fresho-colocasia-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=33&t_s=Colocasia
Coconut Small - With Husk,N/A,26% OFF,₹37.5,bigbasket.com/pd/30001462/fresho-coconut-for-kalash-with-jatta-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=34&t_s=Coconut%2520Small%2520-%2520With%2520Husk
Guava,500 g,24% OFF,₹33.44,bigbasket.com/pd/10000370/fresho-guava-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=35&t_s=Guava
Dragon Fruit,N/A,24% OFF,₹84,bigbasket.com/pd/40008982/fresho-dragon-fruit-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=36&t_s=Dragon%2520Fruit
Chilli - Green Small,N/A,12% OFF,₹11.44,bigbasket.com/pd/40346927/fresho-chilli-green-small-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=37&t_s=Chilli%2520-%2520Green%2520Small
Chow Chow,1 kg,24% OFF,₹57.76,bigbasket.com/pd/10000086/fresho-chow-chow-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=38&t_s=Chow%2520Chow
Sweet Potato - Organically Grown,1 kg,24% OFF,₹73.72,bigbasket.com/pd/50000556/fresho-sweet-potato-organically-grown-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=39&t_s=Sweet%2520Potato%2520-%2520Organically%2520Grown
Coconut - Organically Grown,N/A,25% OFF,₹47,bigbasket.com/pd/40023478/fresho-coconut-organically-grown-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=40&t_s=Coconut%2520-%2520Organically%2520Grown
Baby Potato,500 g,24% OFF,₹15.2,bigbasket.com/pd/10000024/fresho-baby-potato-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=41&t_s=Baby%2520Potato
Broad Beans,1 kg,24% OFF,₹142.12,bigbasket.com/pd/10000036/fresho-beans-broad-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=42&t_s=Broad%2520Beans
Banana - Nendran,500 g,38% OFF,₹32.5,bigbasket.com/pd/10000345/fresho-banana-nendran-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=43&t_s=Banana%2520-%2520Nendran
"Apple - Red Delicious, Economy",N/A,20% OFF,₹171.2,bigbasket.com/pd/40075384/fresho-apple-red-delicious-economy-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=44&t_s=Apple%2520-%2520Red%2520Delicious%252C%2520Economy
Coconut - Large,N/A,20% OFF,₹58.4,bigbasket.com/pd/10000092/fresho-coconut-large-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=45&t_s=Coconut%2520-%2520Large
Onion - Sambhar,1 kg,24% OFF,₹119.32,bigbasket.com/pd/10000331/fresho-onion-sambhar-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=46&t_s=Onion%2520-%2520Sambhar
Sweet Corn,N/A,20% OFF,₹48.8,bigbasket.com/pd/40004992/fresho-sweet-corn-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=47&t_s=Sweet%2520Corn
Mosambi - Economy,N/A,20% OFF,₹76.8,bigbasket.com/pd/40203347/fresho-mosambi-economy-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=48&t_s=Mosambi%2520-%2520Economy
Pineapple,N/A,24% OFF,₹59.28,bigbasket.com/pd/10000156/fresho-pineapple-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=1&t_s=Pineapple
"Orange - Nagpur, Small",N/A,20% OFF,₹96,bigbasket.com/pd/40164406/fresho-baby-orange-nagpur-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=2&t_s=Orange+-+Nagpur%252C+Small
"Capsicum - Green, Organically Grown",250 g,24% OFF,₹22.04,bigbasket.com/pd/50000478/fresho-capsicum-green-organically-grown-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=3&t_s=Capsicum+-+Green%252C+Organically+Grown
Premium Bhindi,1 kg,N/A,₹35,bigbasket.com/pd/40002960/fresho-mysore-bhindi-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=4&t_s=Premium%2520Bhindi
Custard Apple,500 g,24% OFF,₹41.04,bigbasket.com/pd/10000349/fresho-custard-apple-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=5&t_s=Custard%2520Apple
Mint - Organically Grown,N/A,20% OFF,₹11.2,bigbasket.com/pd/50000531/fresho-mint-organically-grown-100-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=6&t_s=Mint%2520-%2520Organically%2520Grown
Banana - Poovan,500 g,24% OFF,₹35.72,bigbasket.com/pd/60000054/fresho-banana-poovan-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=7&t_s=Banana%2520-%2520Poovan
"Apple - Royal Gala, Regular",N/A,20% OFF,₹204.8,bigbasket.com/pd/40033823/fresho-apple-royal-gala-regular-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=8&t_s=Apple%2520-%2520Royal%2520Gala%252C%2520Regular
Pumpkin - Organically Grown,N/A,12% OFF,₹87.12,bigbasket.com/pd/40023471/fresho-pumpkin-organically-grown-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=9&t_s=Pumpkin%2520-%2520Organically%2520Grown
Apple - Royal Gala Economy,4 pcs - Approx.400 g - 500 g,28% OFF,₹167,bigbasket.com/pd/10000005/fresho-apple-royal-gala-economy-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=10&t_s=Apple%2520-%2520Royal%2520Gala%2520Economy
Pomegranate,N/A,22% OFF,₹250,bigbasket.com/pd/10000269/fresho-pomegranate-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=11&t_s=Pomegranate
Betel Leaf,10 pcs,24% OFF,₹9.12,bigbasket.com/pd/20001348/fresho-betel-leaf-10-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=12&t_s=Betel%2520Leaf
Purple Brinjal - Long,250 g,20% OFF,₹11.2,bigbasket.com/pd/20001178/fresho-brinjal-purple-long-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=13&t_s=Purple%2520Brinjal%2520-%2520Long
Snake Gourd,1 kg,24% OFF,₹39.52,bigbasket.com/pd/10000184/fresho-snake-gourd-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=14&t_s=Snake%2520Gourd
Mini Orange,N/A,27% OFF,₹93,bigbasket.com/pd/40008987/fresho-orange-mini-3-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=15&t_s=Mini%2520Orange
Drumstick Leaves,N/A,12% OFF,₹33.44,bigbasket.com/pd/30006607/fresho-drumstick-leaves-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=16&t_s=Drumstick%2520Leaves
"Apple - Organically Grown, Red",N/A,52% OFF,₹119,bigbasket.com/pd/40093037/fresho-apple-red-delicious-organically-grown-4-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=17&t_s=Apple%2520-%2520Organically%2520Grown%252C%2520Red
Green Brinjal,250 g,24% OFF,₹14.44,bigbasket.com/pd/10000057/fresho-brinjal-green-long-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=18&t_s=Green%2520Brinjal
Pumpkin - Disco,N/A,20% OFF,₹60.8,bigbasket.com/pd/40202912/fresho-pumpkin-disco-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=19&t_s=Pumpkin%2520-%2520Disco
"Papaya - Raw, Organically Grown",N/A,20% OFF,₹37.6,bigbasket.com/pd/40047629/fresho-papaya-raw-organically-grown-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=20&t_s=Papaya%2520-%2520Raw%252C%2520Organically%2520Grown
Baby Corn - Peeled,1 kg,24% OFF,₹318.44,bigbasket.com/pd/10000322/fresho-baby-corn-peeled-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=21&t_s=Baby%2520Corn%2520-%2520Peeled
Muscat Grapes,N/A,47% OFF,₹100,bigbasket.com/pd/40354085/fresho-muscat-grapes-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=22&t_s=Muscat%2520Grapes
Muskmelon - Netted Medium,1 pc - 1.2 - 2 kg,24% OFF,₹60.04,bigbasket.com/pd/40114323/fresho-muskmelon-netted-medium-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=23&t_s=Muskmelon%2520-%2520%2520Netted%2520Medium
Nagpur Orange - Premium,N/A,20% OFF,₹156.8,bigbasket.com/pd/40232958/fresho-orange-nagpur-premium-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=24&t_s=Nagpur%2520Orange%2520-%2520Premium
Lettuce - Iceberg,N/A,20% OFF,₹41.6,bigbasket.com/pd/10000133/fresho-lettuce-iceberg-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=25&t_s=Lettuce%2520-%2520Iceberg
Sapota,1 kg,24% OFF,₹67.64,bigbasket.com/pd/10000180/fresho-sapota-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=26&t_s=Sapota
"Capsicum - Red, Organically Grown",N/A,20% OFF,₹46.4,bigbasket.com/pd/40124625/fresho-capsicum-red-organically-grown-1-pc/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=27&t_s=Capsicum%2520-%2520Red%252C%2520Organically%2520Grown
Grapes - Bangalore Blue,1 kg,24% OFF,₹89.68,bigbasket.com/pd/20001009/fresho-grapes-bangalore-blue-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=28&t_s=Grapes%2520-%2520Bangalore%2520Blue
Lotus Flower,N/A,12% OFF,₹95.92,bigbasket.com/pd/40232194/fresho-lotus-flower-to-decorate-for-festivals-puja-2-pcs/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=29&t_s=Lotus%2520Flower
